Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C1,CAP_0603,C0603,117.221mm,17.145mm,117.221mm,17.145mm,117.921mm,17.145mm,2,T,180,Yes,1uF,1uF
C2,CAP_0603,C0603,95.504mm,9.779mm,95.504mm,9.779mm,95.504mm,9.079mm,2,T,90,Yes,1uF,1uF
C3,CAP_0603,C0603,69.723mm,9.652mm,69.723mm,9.652mm,69.723mm,8.952mm,2,T,90,Yes,1uF,1uF
C4,CAP_0603,C0603,69.723mm,27.559mm,69.723mm,27.559mm,69.723mm,28.259mm,2,T,270,Yes,1uF,1uF
C5,CAP_0603,C0603,93.075mm,27.364mm,93.075mm,27.364mm,93.075mm,28.064mm,2,T,270,Yes,1uF,1uF
C6,CAP_0603,C0603,80.01mm,19.558mm,80.01mm,19.558mm,79.31mm,19.558mm,2,T,0,Yes,100nF,100nF
C7,CAP_0603,C0603,80.01mm,21.59mm,80.01mm,21.59mm,79.31mm,21.59mm,2,T,0,Yes,1uF,1uF
C8,CAP_0603,C0603,69.85mm,21.209mm,69.85mm,21.209mm,70.55mm,21.209mm,2,T,180,Yes,1uF,1uF
C9,CAP_0603,C0603,69.85mm,19.558mm,69.85mm,19.558mm,70.55mm,19.558mm,2,T,180,Yes,100nF,100nF
C10,CAP_0603,C0603,69.85mm,16.256mm,69.85mm,16.256mm,70.55mm,16.256mm,2,T,180,Yes,1uF,1uF
C11,CAP_0603,C0603,69.85mm,17.907mm,69.85mm,17.907mm,70.55mm,17.907mm,2,T,180,Yes,100nF,100nF
R1,Res_0603,R0603,117.221mm,18.669mm,117.221mm,18.669mm,116.468mm,18.669mm,2,T,0,Yes,5.1K,5.1K
R2,Res_0603,R0603,116.459mm,22.225mm,116.459mm,22.225mm,115.706mm,22.225mm,2,T,0,Yes,5.1K,5.1K
R3,Res_0603,R0603,65.024mm,9.652mm,65.024mm,9.652mm,65.024mm,8.899mm,2,T,90,Yes,5.1K,5.1K
R4,Res_0603,R0603,68.072mm,9.652mm,68.072mm,9.652mm,68.072mm,8.899mm,2,T,90,Yes,5.1K,5.1K
R5,Res_0603,R0603,90.805mm,9.652mm,90.805mm,9.652mm,90.805mm,8.899mm,2,T,90,Yes,5.1K,5.1K
R6,Res_0603,R0603,93.853mm,9.779mm,93.853mm,9.779mm,93.853mm,9.026mm,2,T,90,Yes,5.1K,5.1K
U1,SL2.1s,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,75.057mm,18.161mm,75.057mm,18.161mm,76.857mm,16.306mm,16,T,90,Yes,SL2.1s,SL2.1s
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,66.294mm,4.953mm,66.294mm,4.953mm,61.969mm,2.578mm,16,T,0,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB2,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,92.075mm,4.699mm,92.075mm,4.699mm,87.75mm,2.324mm,16,T,0,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB3,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,66.294mm,35.179mm,66.294mm,35.179mm,69.794mm,30.784mm,6,T,180,No,10.0 QHHTZB6.3,10.0 QHHTZB6.3
USB4,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,89.535mm,35.179mm,89.535mm,35.179mm,93.035mm,30.784mm,6,T,180,No,10.0 QHHTZB6.3,10.0 QHHTZB6.3
USB5,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,122.555mm,20.32mm,122.555mm,20.32mm,124.93mm,15.995mm,16,T,90,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
